,script_name,size,time
5,pymonntorch_fast_LIF_cuda.py,10,0.23083758354187
11,pymonntorch_fast_LIF_cuda.py,20,0.209731578826904
17,pymonntorch_fast_LIF_cuda.py,50,0.240248918533325
23,pymonntorch_fast_LIF_cuda.py,100,0.22225022315979
29,pymonntorch_fast_LIF_cuda.py,250,0.24074387550354
35,pymonntorch_fast_LIF_cuda.py,500,0.258986234664917
41,pymonntorch_fast_LIF_cuda.py,750,0.244356632232666
47,pymonntorch_fast_LIF_cuda.py,1000,0.250998258590698
53,pymonntorch_fast_LIF_cuda.py,1500,0.243802070617676
59,pymonntorch_fast_LIF_cuda.py,2000,0.264259576797485
65,pymonntorch_fast_LIF_cuda.py,3000,0.250004529953003
71,pymonntorch_fast_LIF_cuda.py,4000,0.246597528457642
77,pymonntorch_fast_LIF_cuda.py,5000,0.252808332443237
83,pymonntorch_fast_LIF_cuda.py,6000,0.265643835067749
89,pymonntorch_fast_LIF_cuda.py,7000,0.252890110015869
95,pymonntorch_fast_LIF_cuda.py,8000,0.25895357131958
101,pymonntorch_fast_LIF_cuda.py,9000,0.261910200119019
107,pymonntorch_fast_LIF_cuda.py,10000,0.263575077056885
112,pymonntorch_fast_LIF_cuda.py,11000,0.270371913909912
117,pymonntorch_fast_LIF_cuda.py,12000,0.278357267379761
121,pymonntorch_fast_LIF_cuda.py,13000,0.278496026992798
124,pymonntorch_fast_LIF_cuda.py,14000,0.283861637115479
127,pymonntorch_fast_LIF_cuda.py,15000,0.2980637550354
11,pymonntorch_fast_LIF_cpu.py,10,0.050781965255737
23,pymonntorch_fast_LIF_cpu.py,20,0.051456212997437
35,pymonntorch_fast_LIF_cpu.py,50,0.052542209625244
47,pymonntorch_fast_LIF_cpu.py,100,0.057162761688232
59,pymonntorch_fast_LIF_cpu.py,250,0.068086862564087
71,pymonntorch_fast_LIF_cpu.py,500,0.072407245635986
83,pymonntorch_fast_LIF_cpu.py,750,0.07805323600769
95,pymonntorch_fast_LIF_cpu.py,1000,0.080625057220459
107,pymonntorch_fast_LIF_cpu.py,1500,0.092430830001831
119,pymonntorch_fast_LIF_cpu.py,2000,0.103846549987793
131,pymonntorch_fast_LIF_cpu.py,3000,0.134520530700684
143,pymonntorch_fast_LIF_cpu.py,4000,0.174969673156738
155,pymonntorch_fast_LIF_cpu.py,5000,0.209743738174438
167,pymonntorch_fast_LIF_cpu.py,6000,0.252488374710083
179,pymonntorch_fast_LIF_cpu.py,7000,0.301794767379761
191,pymonntorch_fast_LIF_cpu.py,8000,0.35478663444519
203,pymonntorch_fast_LIF_cpu.py,9000,0.443514347076416
215,pymonntorch_fast_LIF_cpu.py,10000,0.511337280273438
226,pymonntorch_fast_LIF_cpu.py,11000,0.610089540481567
236,pymonntorch_fast_LIF_cpu.py,12000,0.716002702713013
245,pymonntorch_fast_LIF_cpu.py,13000,0.820239067077637
254,pymonntorch_fast_LIF_cpu.py,14000,0.978939533233643
263,pymonntorch_fast_LIF_cpu.py,15000,1.14523983001709
10,pymonnto_fast_LIF.py,10,0.014505386352539
22,pymonnto_fast_LIF.py,20,0.014926433563232
34,pymonnto_fast_LIF.py,50,0.015711545944214
46,pymonnto_fast_LIF.py,100,0.015887975692749
58,pymonnto_fast_LIF.py,250,0.016761779785156
70,pymonnto_fast_LIF.py,500,0.019502639770508
82,pymonnto_fast_LIF.py,750,0.021757125854492
94,pymonnto_fast_LIF.py,1000,0.026401519775391
106,pymonnto_fast_LIF.py,1500,0.030006170272827
118,pymonnto_fast_LIF.py,2000,0.037036657333374
130,pymonnto_fast_LIF.py,3000,0.061444044113159
142,pymonnto_fast_LIF.py,4000,0.095674991607666
154,pymonnto_fast_LIF.py,5000,0.142529726028442
166,pymonnto_fast_LIF.py,6000,0.190973281860352
178,pymonnto_fast_LIF.py,7000,0.26209282875061
190,pymonnto_fast_LIF.py,8000,0.339109659194946
202,pymonnto_fast_LIF.py,9000,0.428168296813965
214,pymonnto_fast_LIF.py,10000,0.521430253982544
225,pymonnto_fast_LIF.py,11000,0.629919767379761
235,pymonnto_fast_LIF.py,12000,0.732210397720337
244,pymonnto_fast_LIF.py,13000,0.873138666152954
253,pymonnto_fast_LIF.py,14000,1.03844618797302
262,pymonnto_fast_LIF.py,15000,1.2070689201355
0,nest_native_LIF.py,10,0.003908157348633
1,nest_native_LIF.py,20,0.004547357559204
2,nest_native_LIF.py,50,0.006525039672852
3,nest_native_LIF.py,100,0.010006427764893
4,nest_native_LIF.py,250,0.025134563446045
5,nest_native_LIF.py,500,0.064493179321289
6,nest_native_LIF.py,750,0.107341051101685
7,nest_native_LIF.py,1000,0.154961109161377
8,nest_native_LIF.py,1500,0.274316310882568
9,nest_native_LIF.py,2000,0.423882961273193
10,nest_native_LIF.py,3000,0.98209023475647
11,nest_native_LIF.py,4000,1.8478786945343
12,nest_native_LIF.py,5000,2.84251570701599
13,nest_native_LIF.py,6000,4.08243274688721
14,nest_native_LIF.py,7000,5.45021557807922
15,nest_native_LIF.py,8000,7.00254940986633
16,nest_native_LIF.py,9000,9.63389110565186
17,nest_native_LIF.py,10000,11.2066428661346
18,nest_native_LIF.py,11000,13.5321595668793
19,nest_native_LIF.py,12000,16.5722892284393
20,nest_native_LIF.py,13000,18.9348783493042
7,brian_LIF.py,10,0.171792268753052
19,brian_LIF.py,20,0.161046504974365
31,brian_LIF.py,50,0.159369707107544
43,brian_LIF.py,100,0.169228315353393
55,brian_LIF.py,250,0.169878005981445
67,brian_LIF.py,500,0.176083087921143
79,brian_LIF.py,750,0.20195198059082
91,brian_LIF.py,1000,0.244710922241211
103,brian_LIF.py,1500,0.360519170761108
115,brian_LIF.py,2000,0.557265996932983
127,brian_LIF.py,3000,1.29868936538696
139,brian_LIF.py,4000,2.35286140441895
151,brian_LIF.py,5000,3.73693227767944
163,brian_LIF.py,6000,5.62411832809448
175,brian_LIF.py,7000,7.78604245185852
187,brian_LIF.py,8000,10.2517318725586
199,brian_LIF.py,9000,13.910181760788
211,brian_LIF.py,10000,17.3634471893311
222,brian_LIF.py,11000,21.3268043994904
232,brian_LIF.py,12000,26.7922756671906
242,brian_LIF.py,13000,31.0379486083984
251,brian_LIF.py,14000,35.8420329093933
260,brian_LIF.py,15000,41.8964195251465
3,brian_LIF_gpu.py,10,0.009
9,brian_LIF_gpu.py,20,0.009
15,brian_LIF_gpu.py,50,0.01
21,brian_LIF_gpu.py,100,0.01
27,brian_LIF_gpu.py,250,0.01
33,brian_LIF_gpu.py,500,0.01
39,brian_LIF_gpu.py,750,0.012
45,brian_LIF_gpu.py,1000,0.015
51,brian_LIF_gpu.py,1500,0.021
57,brian_LIF_gpu.py,2000,0.031
63,brian_LIF_gpu.py,3000,0.066
69,brian_LIF_gpu.py,4000,0.107
75,brian_LIF_gpu.py,5000,0.174
81,brian_LIF_gpu.py,6000,0.258
87,brian_LIF_gpu.py,7000,0.352
93,brian_LIF_gpu.py,8000,0.462
99,brian_LIF_gpu.py,9000,0.598
105,brian_LIF_gpu.py,10000,0.749
110,brian_LIF_gpu.py,11000,0.917
115,brian_LIF_gpu.py,12000,1.079
119,brian_LIF_gpu.py,13000,1.299
8,brian_LIF_cpp.py,10,0.001673
20,brian_LIF_cpp.py,20,0.001756
32,brian_LIF_cpp.py,50,0.002078
44,brian_LIF_cpp.py,100,0.00265
56,brian_LIF_cpp.py,250,0.005056
68,brian_LIF_cpp.py,500,0.012837
80,brian_LIF_cpp.py,750,0.024915
92,brian_LIF_cpp.py,1000,0.069447
104,brian_LIF_cpp.py,1500,0.15214
116,brian_LIF_cpp.py,2000,0.284925
128,brian_LIF_cpp.py,3000,0.751469
140,brian_LIF_cpp.py,4000,1.50663
152,brian_LIF_cpp.py,5000,2.35519
164,brian_LIF_cpp.py,6000,3.78039
176,brian_LIF_cpp.py,7000,5.58364
188,brian_LIF_cpp.py,8000,7.10211
200,brian_LIF_cpp.py,9000,9.58538
212,brian_LIF_cpp.py,10000,12.2654
223,brian_LIF_cpp.py,11000,15.2001
233,brian_LIF_cpp.py,12000,18.5027
243,brian_LIF_cpp.py,13000,22.4455
252,brian_LIF_cpp.py,14000,25.8942
261,brian_LIF_cpp.py,15000,30.6911
4,annarchy_LIF_cuda.py,10,0.004566192626953
10,annarchy_LIF_cuda.py,20,0.005007982254028
16,annarchy_LIF_cuda.py,50,0.006747722625732
22,annarchy_LIF_cuda.py,100,0.007558345794678
28,annarchy_LIF_cuda.py,250,0.009641647338867
34,annarchy_LIF_cuda.py,500,0.011927366256714
40,annarchy_LIF_cuda.py,750,0.014022827148438
46,annarchy_LIF_cuda.py,1000,0.018357276916504
52,annarchy_LIF_cuda.py,1500,0.025321006774902
58,annarchy_LIF_cuda.py,2000,0.035071611404419
64,annarchy_LIF_cuda.py,3000,0.057175636291504
70,annarchy_LIF_cuda.py,4000,0.083190441131592
76,annarchy_LIF_cuda.py,5000,0.118785381317139
82,annarchy_LIF_cuda.py,6000,0.159032344818115
88,annarchy_LIF_cuda.py,7000,0.205736637115478
94,annarchy_LIF_cuda.py,8000,0.261010408401489
100,annarchy_LIF_cuda.py,9000,0.320588827133179
106,annarchy_LIF_cuda.py,10000,0.392200469970703
111,annarchy_LIF_cuda.py,11000,0.468226671218872
116,annarchy_LIF_cuda.py,12000,0.552332401275635
120,annarchy_LIF_cuda.py,13000,0.643180131912231
123,annarchy_LIF_cuda.py,14000,0.750556707382202
126,annarchy_LIF_cuda.py,15000,0.856891393661499
6,annarchy_LIF_cpu.py,10,0.002365350723267
18,annarchy_LIF_cpu.py,20,0.002423763275146
30,annarchy_LIF_cpu.py,50,0.002589464187622
42,annarchy_LIF_cpu.py,100,0.002831935882568
54,annarchy_LIF_cpu.py,250,0.004913091659546
66,annarchy_LIF_cpu.py,500,0.008528470993042
78,annarchy_LIF_cpu.py,750,0.013413429260254
90,annarchy_LIF_cpu.py,1000,0.019102334976196
102,annarchy_LIF_cpu.py,1500,0.037863254547119
114,annarchy_LIF_cpu.py,2000,0.067256212234497
126,annarchy_LIF_cpu.py,3000,0.185651063919067
138,annarchy_LIF_cpu.py,4000,0.384130954742432
150,annarchy_LIF_cpu.py,5000,0.646891355514526
162,annarchy_LIF_cpu.py,6000,0.954157590866089
174,annarchy_LIF_cpu.py,7000,1.31266903877258
186,annarchy_LIF_cpu.py,8000,1.724773645401
198,annarchy_LIF_cpu.py,9000,2.25900721549988
210,annarchy_LIF_cpu.py,10000,2.76812601089478
221,annarchy_LIF_cpu.py,11000,3.26254320144653
231,annarchy_LIF_cpu.py,12000,4.24363517761231
241,annarchy_LIF_cpu.py,13000,5.18250274658203
250,annarchy_LIF_cpu.py,14000,6.12163615226746
259,annarchy_LIF_cpu.py,15000,7.35997605323792
