,script_name,size,time
112,pymonntorch_fast_LIF_cuda.py,11000,0.710479736328125
107,pymonntorch_fast_LIF_cuda.py,10000,0.342134714126587
101,pymonntorch_fast_LIF_cuda.py,9000,0.289213180541992
95,pymonntorch_fast_LIF_cuda.py,8000,0.273930072784424
89,pymonntorch_fast_LIF_cuda.py,7000,0.278205633163452
83,pymonntorch_fast_LIF_cuda.py,6000,0.260026216506958
77,pymonntorch_fast_LIF_cuda.py,5000,0.294275283813476
71,pymonntorch_fast_LIF_cuda.py,4000,0.256305456161499
65,pymonntorch_fast_LIF_cuda.py,3000,0.247814416885376
59,pymonntorch_fast_LIF_cuda.py,2000,0.258381128311157
53,pymonntorch_fast_LIF_cuda.py,1500,0.247575759887695
47,pymonntorch_fast_LIF_cuda.py,1000,0.25113582611084
41,pymonntorch_fast_LIF_cuda.py,750,0.258545637130737
35,pymonntorch_fast_LIF_cuda.py,500,0.251134872436523
29,pymonntorch_fast_LIF_cuda.py,250,0.253123760223389
23,pymonntorch_fast_LIF_cuda.py,100,0.246533393859863
17,pymonntorch_fast_LIF_cuda.py,50,0.219163179397583
11,pymonntorch_fast_LIF_cuda.py,20,0.211331605911255
5,pymonntorch_fast_LIF_cuda.py,10,0.205527782440185
197,pymonntorch_fast_LIF_cpu.py,10000,1.97822904586792
186,pymonntorch_fast_LIF_cpu.py,9000,1.36488723754883
175,pymonntorch_fast_LIF_cpu.py,8000,0.930070638656616
164,pymonntorch_fast_LIF_cpu.py,7000,0.690158367156982
153,pymonntorch_fast_LIF_cpu.py,6000,0.512791633605957
142,pymonntorch_fast_LIF_cpu.py,5000,0.357247114181518
131,pymonntorch_fast_LIF_cpu.py,4000,0.258326292037964
120,pymonntorch_fast_LIF_cpu.py,3000,0.177777051925659
109,pymonntorch_fast_LIF_cpu.py,2000,0.133896350860596
98,pymonntorch_fast_LIF_cpu.py,1500,0.110348224639893
87,pymonntorch_fast_LIF_cpu.py,1000,0.09039568901062
76,pymonntorch_fast_LIF_cpu.py,750,0.083239793777466
65,pymonntorch_fast_LIF_cpu.py,500,0.077402353286743
54,pymonntorch_fast_LIF_cpu.py,250,0.070544481277466
43,pymonntorch_fast_LIF_cpu.py,100,0.059569597244263
32,pymonntorch_fast_LIF_cpu.py,50,0.054298639297485
21,pymonntorch_fast_LIF_cpu.py,20,0.052107572555542
10,pymonntorch_fast_LIF_cpu.py,10,0.05099892616272
196,pymonnto_fast_LIF.py,10000,2.43641400337219
185,pymonnto_fast_LIF.py,9000,1.52876996994019
174,pymonnto_fast_LIF.py,8000,1.06094741821289
163,pymonnto_fast_LIF.py,7000,0.742210626602173
152,pymonnto_fast_LIF.py,6000,0.525516271591187
141,pymonnto_fast_LIF.py,5000,0.347824335098267
130,pymonnto_fast_LIF.py,4000,0.215889453887939
119,pymonnto_fast_LIF.py,3000,0.112548828125
108,pymonnto_fast_LIF.py,2000,0.055478096008301
97,pymonnto_fast_LIF.py,1500,0.039623260498047
86,pymonnto_fast_LIF.py,1000,0.029778242111206
75,pymonnto_fast_LIF.py,750,0.024633646011353
64,pymonnto_fast_LIF.py,500,0.020261526107788
53,pymonnto_fast_LIF.py,250,0.018202304840088
42,pymonnto_fast_LIF.py,100,0.016189336776733
31,pymonnto_fast_LIF.py,50,0.015943765640259
20,pymonnto_fast_LIF.py,20,0.014968633651733
9,pymonnto_fast_LIF.py,10,0.014630079269409
0,nest_native_LIF.py,10,0.003812551498413
1,nest_native_LIF.py,20,0.004534244537354
2,nest_native_LIF.py,50,0.006745338439941
3,nest_native_LIF.py,100,0.010937213897705
4,nest_native_LIF.py,250,0.029664993286133
5,nest_native_LIF.py,500,0.079800367355347
6,nest_native_LIF.py,750,0.140201807022095
7,nest_native_LIF.py,1000,0.213537931442261
8,nest_native_LIF.py,1500,0.401148319244385
9,nest_native_LIF.py,2000,0.664199113845825
10,nest_native_LIF.py,3000,1.72166991233826
11,nest_native_LIF.py,4000,3.31417107582092
12,nest_native_LIF.py,5000,5.31827068328857
13,nest_native_LIF.py,6000,7.6737711429596
14,nest_native_LIF.py,7000,10.5257296562195
15,nest_native_LIF.py,8000,13.9809260368347
16,nest_native_LIF.py,9000,18.4119236469269
17,nest_native_LIF.py,10000,24.5392003059387
