,script_name,size,time
0,pynn_nest_izh.py,10,0.0059947967529296
1,pynn_nest_izh.py,20,0.0049152374267578
2,pynn_nest_izh.py,50,0.0054280757904052
3,pynn_nest_izh.py,100,0.0064396858215332
4,pynn_nest_izh.py,250,0.0114655494689941
5,pynn_nest_izh.py,500,0.0259017944335937
6,pynn_nest_izh.py,750,0.0484042167663574
7,pynn_nest_izh.py,1000,0.0758521556854248
8,pynn_nest_izh.py,1500,0.1649281978607177
9,pynn_nest_izh.py,2000,0.2776615619659424
10,pynn_nest_izh.py,3000,0.6177239418029785
11,pynn_nest_izh.py,4000,1.0873956680297852
12,pynn_nest_izh.py,5000,1.758296251296997
13,pynn_nest_izh.py,6000,2.5973799228668213
14,pynn_nest_izh.py,7000,3.482117176055908
15,pynn_nest_izh.py,8000,4.614040851593018
16,pynn_nest_izh.py,9000,5.879398345947266
17,pynn_nest_izh.py,10000,7.038392782211304
18,pynn_nest_izh.py,11000,8.49767780303955
0,annarchy_izh_cpu.py,10,0.0023274421691894
1,brian_izh.py,10,0.3840992450714111
2,brian_izh_cpp.py,10,0.001779
3,pymonnto_izh.py,10,0.0238289833068847
4,pymonntorch_izh_cpu.py,10,0.1209931373596191
11,annarchy_izh_cpu.py,20,0.0024106502532958
12,brian_izh.py,20,0.3835701942443847
13,brian_izh_cpp.py,20,0.002009
14,pymonnto_izh.py,20,0.0245225429534912
15,pymonntorch_izh_cpu.py,20,0.1442999839782714
22,annarchy_izh_cpu.py,50,0.003007173538208
23,brian_izh.py,50,0.3837838172912597
24,brian_izh_cpp.py,50,0.002687
25,pymonnto_izh.py,50,0.0247001647949218
26,pymonntorch_izh_cpu.py,50,0.1433753967285156
33,annarchy_izh_cpu.py,100,0.0036189556121826
34,brian_izh.py,100,0.3858335018157959
35,brian_izh_cpp.py,100,0.003777
36,pymonnto_izh.py,100,0.0260505676269531
37,pymonntorch_izh_cpu.py,100,0.1446168422698974
44,annarchy_izh_cpu.py,250,0.0062606334686279
45,brian_izh.py,250,0.3882539272308349
46,brian_izh_cpp.py,250,0.007689
47,pymonnto_izh.py,250,0.0280992984771728
48,pymonntorch_izh_cpu.py,250,0.1603012084960937
55,annarchy_izh_cpu.py,500,0.0117957592010498
56,brian_izh.py,500,0.4006199836730957
57,brian_izh_cpp.py,500,0.016806
58,pymonnto_izh.py,500,0.0327723026275634
59,pymonntorch_izh_cpu.py,500,0.1728808879852295
66,annarchy_izh_cpu.py,750,0.0216553211212158
67,brian_izh.py,750,0.4248342514038086
68,brian_izh_cpp.py,750,0.028862
69,pymonnto_izh.py,750,0.0392737388610839
70,pymonntorch_izh_cpu.py,750,0.1820018291473388
77,annarchy_izh_cpu.py,1000,0.0360419750213623
78,brian_izh.py,1000,0.4561741352081299
79,brian_izh_cpp.py,1000,0.04981
80,pymonnto_izh.py,1000,0.0438854694366455
81,pymonntorch_izh_cpu.py,1000,0.1915705204010009
88,annarchy_izh_cpu.py,1500,0.073359727859497
89,brian_izh.py,1500,0.5490026473999023
90,brian_izh_cpp.py,1500,0.102315
91,pymonnto_izh.py,1500,0.0556838512420654
92,pymonntorch_izh_cpu.py,1500,0.2094979286193847
99,annarchy_izh_cpu.py,2000,0.1309795379638672
100,brian_izh.py,2000,0.673194169998169
101,brian_izh_cpp.py,2000,0.187013
102,pymonnto_izh.py,2000,0.0725116729736328
103,pymonntorch_izh_cpu.py,2000,0.2356898784637451
110,annarchy_izh_cpu.py,3000,0.3037190437316894
111,brian_izh.py,3000,1.1281321048736572
112,brian_izh_cpp.py,3000,0.411681
113,pymonnto_izh.py,3000,0.1188311576843261
114,pymonntorch_izh_cpu.py,3000,0.3056752681732178
121,annarchy_izh_cpu.py,4000,0.5468487739562988
122,brian_izh.py,4000,1.683295726776123
123,brian_izh_cpp.py,4000,0.732158
124,pymonnto_izh.py,4000,0.2122950553894043
125,pymonntorch_izh_cpu.py,4000,0.4272489547729492
132,annarchy_izh_cpu.py,5000,0.914109468460083
133,brian_izh.py,5000,2.509738683700561
134,brian_izh_cpp.py,5000,1.14238
135,pymonnto_izh.py,5000,0.3246901035308838
136,pymonntorch_izh_cpu.py,5000,0.5409102439880371
143,annarchy_izh_cpu.py,6000,1.301276445388794
144,brian_izh.py,6000,3.404237508773804
145,brian_izh_cpp.py,6000,1.70484
146,pymonnto_izh.py,6000,0.5133688449859619
147,pymonntorch_izh_cpu.py,6000,0.7017064094543457
154,annarchy_izh_cpu.py,7000,1.6926932334899902
155,brian_izh.py,7000,4.621698141098023
156,brian_izh_cpp.py,7000,2.33872
157,pymonnto_izh.py,7000,0.7201516628265381
158,pymonntorch_izh_cpu.py,7000,0.9013981819152832
165,annarchy_izh_cpu.py,8000,2.30488657951355
166,brian_izh.py,8000,5.945868492126465
167,brian_izh_cpp.py,8000,3.08561
168,pymonnto_izh.py,8000,0.9924664497375488
169,pymonntorch_izh_cpu.py,8000,1.128938913345337
176,annarchy_izh_cpu.py,9000,2.866304636001587
177,brian_izh.py,9000,7.742291450500488
178,brian_izh_cpp.py,9000,3.80429
179,pymonnto_izh.py,9000,1.1745398044586182
180,pymonntorch_izh_cpu.py,9000,1.3966517448425293
187,annarchy_izh_cpu.py,10000,3.611562728881836
188,brian_izh.py,10000,9.376542329788208
189,brian_izh_cpp.py,10000,4.67385
190,pymonnto_izh.py,10000,1.4814739227294922
191,pymonntorch_izh_cpu.py,10000,1.7221612930297852
198,brian_izh.py,11000,11.628864526748655
199,brian_izh_cpp.py,11000,5.64323
200,pymonnto_izh.py,11000,1.816667318344116
201,pymonntorch_izh_cpu.py,11000,2.0716333389282227
208,brian_izh.py,12000,13.611795663833618
209,brian_izh_cpp.py,12000,6.78022
210,pymonnto_izh.py,12000,2.3428125381469727
211,pymonntorch_izh_cpu.py,12000,2.450019598007202
218,brian_izh.py,13000,15.725038766860962
219,brian_izh_cpp.py,13000,7.9243
220,pymonnto_izh.py,13000,2.58340072631836
221,pymonntorch_izh_cpu.py,13000,2.753589153289795
227,brian_izh.py,14000,18.714426279067997
228,brian_izh_cpp.py,14000,9.75783
