,script_name,size,time
5,pymonntorch_fast_LIF_cuda.py,10,0.20414924621582
11,pymonntorch_fast_LIF_cuda.py,20,0.186275720596313
17,pymonntorch_fast_LIF_cuda.py,50,0.209477663040161
23,pymonntorch_fast_LIF_cuda.py,100,0.205135345458984
29,pymonntorch_fast_LIF_cuda.py,250,0.219913244247436
35,pymonntorch_fast_LIF_cuda.py,500,0.225963592529297
41,pymonntorch_fast_LIF_cuda.py,750,0.246772527694702
47,pymonntorch_fast_LIF_cuda.py,1000,0.225042343139648
53,pymonntorch_fast_LIF_cuda.py,1500,0.24429440498352
59,pymonntorch_fast_LIF_cuda.py,2000,0.246092796325684
65,pymonntorch_fast_LIF_cuda.py,3000,0.242639541625976
71,pymonntorch_fast_LIF_cuda.py,4000,0.240129709243774
77,pymonntorch_fast_LIF_cuda.py,5000,0.254750251770019
83,pymonntorch_fast_LIF_cuda.py,6000,0.251121044158935
89,pymonntorch_fast_LIF_cuda.py,7000,0.24895453453064
95,pymonntorch_fast_LIF_cuda.py,8000,0.258829593658447
101,pymonntorch_fast_LIF_cuda.py,9000,0.250872135162354
107,pymonntorch_fast_LIF_cuda.py,10000,0.249863147735596
112,pymonntorch_fast_LIF_cuda.py,11000,0.257101774215698
117,pymonntorch_fast_LIF_cuda.py,12000,0.251241445541382
121,pymonntorch_fast_LIF_cuda.py,13000,0.252537488937378
124,pymonntorch_fast_LIF_cuda.py,14000,0.251968145370483
127,pymonntorch_fast_LIF_cuda.py,15000,0.261472702026367
10,pymonntorch_fast_LIF_cpu.py,10,0.051137924194336
21,pymonntorch_fast_LIF_cpu.py,20,0.050917387008667
32,pymonntorch_fast_LIF_cpu.py,50,0.051419973373413
43,pymonntorch_fast_LIF_cpu.py,100,0.051488876342773
54,pymonntorch_fast_LIF_cpu.py,250,0.063827753067017
65,pymonntorch_fast_LIF_cpu.py,500,0.066873788833618
76,pymonntorch_fast_LIF_cpu.py,750,0.069384574890137
87,pymonntorch_fast_LIF_cpu.py,1000,0.073052644729614
98,pymonntorch_fast_LIF_cpu.py,1500,0.077486276626587
