,brian_izh_cpp.py,brian_izh_cuda.py,brian_izh.py,pymonnto_izh.py,pymonntorch_izh_cpu.py,pymonntorch_izh_cuda.py,pynn_nest_izh.py
0,2.6841,0.578,3.4726831912994385,,,,
1,2.71105,0.583,3.4361014366149902,,,,
2,2.69182,0.583,3.4102065563201904,,,,
3,2.71508,0.578,3.4273641109466557,,,,
4,2.71922,0.582,3.4059536457061768,,,,
5,2.65805,0.581,3.348144769668579,,,,
6,2.67772,0.581,3.368236780166626,,,,
7,2.7001,0.58,3.3760788440704346,,,,
8,2.66467,0.583,3.433244228363037,,,,
9,2.67575,0.578,3.348066568374634,,,,
10,,,,0.7197628021240234,0.651740312576294,0.3893859386444092,2.8230273723602295
11,,,,0.7400238513946533,0.6538395881652832,0.3680737018585205,2.858301877975464
12,,,,0.729773998260498,0.633002519607544,0.39490747451782227,2.888906717300415
13,,,,0.7239413261413574,0.6578648090362549,0.3808455467224121,2.908961057662964
14,,,,0.7341878414154053,0.6436982154846191,0.3769190311431885,2.840797185897827
15,,,,0.7041721343994141,0.6594753265380859,0.3901500701904297,2.850121259689331
16,,,,0.7219266891479492,0.6620433330535889,0.3657188415527344,2.873310089111328
17,,,,0.7323729991912842,0.6306674480438232,0.3696098327636719,2.8538825511932373
18,,,,0.7133955955505371,0.6342229843139648,0.38704347610473633,2.902549982070923
19,,,,0.7213492393493652,0.6382226943969727,0.38836026191711426,2.8932931423187256
