,brian_LIF_cpp.py,brian_LIF_gpu.py,brian_LIF.py,nest_native_LIF.py,pymonnto_fast_LIF.py,pymonntorch_fast_LIF_cpu.py,pymonntorch_fast_LIF_cuda.py,pymonntorch_slow_LIF_cpu.py,pymonntorch_slow_LIF_cuda.py,pymonnto_slow_LIF.py
0,5675.0,5708.0,5712.0,,,,,,,
1,5710.0,5838.0,5734.0,,,,,,,
2,5664.0,5731.0,5728.0,,,,,,,
3,5692.0,5774.0,5685.0,,,,,,,
4,5738.0,5589.0,5700.0,,,,,,,
5,5752.0,5714.0,5696.0,,,,,,,
6,5613.0,5854.0,5747.0,,,,,,,
7,5686.0,5795.0,5758.0,,,,,,,
8,5706.0,5658.0,5789.0,,,,,,,
9,5729.0,5696.0,5887.0,,,,,,,
10,,,,5094.0,5749.0,5718.0,5635.0,5505.0,5703.0,5683.0
11,,,,4958.0,5741.0,5586.0,5687.0,5693.0,5622.0,5526.0
12,,,,4981.0,5583.0,5654.0,5671.0,5768.0,5643.0,5575.0
13,,,,4929.0,5735.0,5680.0,5665.0,5624.0,5686.0,5676.0
14,,,,5042.0,5828.0,5546.0,5651.0,5663.0,5681.0,5635.0
15,,,,4971.0,5653.0,5719.0,5670.0,5660.0,5693.0,5653.0
16,,,,5019.0,5576.0,5752.0,5580.0,5650.0,5645.0,5678.0
17,,,,4955.0,5522.0,5692.0,5723.0,5666.0,5753.0,5656.0
18,,,,4937.0,5661.0,5704.0,5574.0,5735.0,5701.0,5672.0
19,,,,5024.0,5705.0,5647.0,5749.0,5724.0,5712.0,5691.0
